Rad,Ref nr,Antall,Bredde (mm),Høyde (mm),Klassifisering
5,V_A1-01.1,1,3320,1500,---
10,V_A1-01.1,1,850,1500,---
15,V_A1-02,1,3370,1500,---
20,V_A1-03,1,3370,1020,---
25,V_A1-04,1,3370,1500,---
30,V_A1-05,1,3370,1500,---
35,V_A1-06,1,3370,1020,---
40,V_A1-07,1,3370,1500,---
45,V_A1-08,1,3370,540,---
50,V_A1-09,1,3070,1020,---
55,V_A1-10,1,3070,1020,---
60,V_A1-11,1,3370,1020,---
65,V_A1-12,1,3070,1020,---
70,V_A1-13,2,1490,1490,---
75,V_A1-15,1,2180,1020,---
80,V_A1-16,1,2790,1020,---
85,V_A1-17.1,1,2790,1020,---
90,V_A1-17.2,1,890,1020,---
95,V_A1-19,1,2180,1020,---
100,V_A1-20,1,2180,1020,---
105,V_A1-21,1,2180,1020,---
110,V_A1-22,1,2180,1020,---
115,V_A1-24,1,580,580,---
120,V_A1-25,2,580,580,---
125,V_A1-26,3,580,580,---
130,V_A1-29,1,3370,1020,---
135,V_A1-30,1,3370,1500,---
140,V_A1-31.1,1,870,1500,---
145,V_A1-31.2,1,3370,1500,---
150,V_A1-38,1,3370,1500,---
155,V_A1-51.1,1,1010,2090,EI30
160,V_A1-51.2,2,1355,2090,EI30
162,V_A1-51.2,2,1355,2090,EI30
165,V_A2-01.1,2,1990,990,---
170,V_A2-01.2,1,1990,990,---
180,V_A2-01.4,2,1410,2080,---
185,V_A2-01.5,1,1360,2080,---
190,V_A2-02.1,1,1690,990,---
195,V_A2-02.2,2,1490,1490,---
200,V_A2-03.1,1,2090,990,---
205,V_A2-03.2,1,1490,1490,---
210,V_B1-01,1,3370,1500,---
215,V_B1-02,1,3350,1020,---
220,V_B1-05,1,3400,1020,---
225,V_B1-06,1,3390,1500,---
230,V_B1-07,1,3400,1020,---
235,V_B1-08,1,3370,1500,---
250,V_B1-17.1,2,1295,1190,EI30
255,---,2,1295,1190,EI30
260,V_B1-17.2,1,940,1190,EI30
265,V_B1-17.2,1,940,1190,EI30
270,V_B1-17.4,2,1630,1844,EI30
275,V_B1-17.4,2,1630,1251,EI30
310,V_B1-26,1,1133,1020,EI30
315,V_B1-26,1,1133,1020,EI30
320,V_B1-26,1,1133,1020,EI30
325,V_B1-27,1,1133,1500,EI30
330,V_B1-27,1,1133,1500,EI30
335,V_B1-27,1,1133,1500,EI30
340,V_B1-28.1,1,830,2080,EI30
345,V_B1-28.2,1,1185,1020,EI30
350,V_B1-28.2,1,1185,1020,EI30
355,V_B1-29,1,1133,1020,EI30
360,V_B1-29,1,1133,1020,EI30
365,V_B1-29,1,1133,1020,EI30
370,V_B1-30,1,3410,1500,---
375,V_B1-31,1,3400,1020,---
380,V_B1-33,1,3420,1500,---
385,V_B1-34,1,3320,1020,---
390,V_B1-35.1,1,3419,1490,---
395,V_B1-35.2,1,1990,1500,---
400,V_B1-36.1,1,3889,1490,---
405,V_B1-37,1,3380,1020,---
410,V_B1-38,1,3400,1500,---
420,V_B1-201.1,1,1085,2070,EI30
425,V_B1-201.1,1,1085,2070,EI30
430,V_B1-201.2,1,1085,2070,EI30
435,V_B1-201.2,1,1085,2070,EI30
440,V_B1-201.3,1,1100,1570,EI30
445,V_B1-201.3,1,1100,1570,EI30
450,V_B1-201.4,1,1085,2070,EI30
455,V_B1-201.4,1,1085,2070,EI30
460,V_B1-201.5,1,1092,2070,EI30
465,V_B1-201.5,1,1092,2070,EI30
470,V_B1-203,1,1600,2070,---
475,V_B1-203,1,1600,1488,---
485,V_B2-01.1,4,3290,1490,---
490,V_B2-01.2,5,3290,790,---
495,V_B2-02,1,590,390,---
500,V_B2-03,3,590,390,---
505,V_B1-06.1,1,1195,1690,EI30
510,V_B1-06.1,1,1195,1690,EI30
515,V_B2-06.2,1,3590,1690,---
520,V_B1-07.1,1,2290,1490,---
525,V_B1-07.2,1,1145,1490,EI30
530,V_B1-07.2,1,1145,1490,EI30
535,V_B1-07.3,1,3200,1200,---
540,V_B1-07.4,1,3200,1200,---
545,V_B2-16.1,1,2890,790,---
550,V_B2-16.2,1,863,2390,EI30
555,V_B2-16.2,1,863,2390,EI30
560,V_C-04.1,1,2380,470,---
565,V_C-05.1,1,2250,590,---
570,V_C-05.2,1,2640,590,---
575,V_C-05.3,2,590,590,---
580,V_C-06.1,1,2640,590,---
