Lnr,Mrk,Ant,Bredde (mm),Høyde (mm),Brannprodukt
255,b1-17.1,1,2588,1188,EI30
260,b1-17.2,1,1878,1188,EI30
270,b1-17.3,1,1693,1228,EI30
275,b1-17.3,1,1693,1844,EI30
280,b1-17.3,1,3388,1844,---
480,b1-17.4,1,1693,1228,EI30
485,b1-17.4,1,1693,1844,EI30
490,b1-17.4,1,3388,1844,---
495,b1-36.1,1,1788,1488,EI30
500,b1-36.1,1,1788,1488,EI30
505,b1-35.1,1,1568,1488,EI30
510,b1-35.1,1,1568,1488,EI30
530,b1-208,1,1788,2988,EI30
535,b1-208,1,1788,2326,EI30
540,b1-35.2,1,1568,1158,EI30
545,b1-35.2,1,1568,793,EI30
550,b1-34.a,1,1488,2066,EI30
555,b1-34.b,1,1488,2655,EI30
560,b1-34.d,1,1488,1488,EI30
565,b1-34.d,1,1488,2343,EI30
570,b1-34.d,1,1488,3833,---
575,b1-34.c,1,1488,1488,EI30
580,b1-34.c,1,1488,1756,EI30
585,b1-34.c,1,1488,3246,---
590,b1-34.e,1,1488,2988,EI30
595,b1-34.e,1,1488,1488,EI30
600,b1-34.e,1,1488,4478,---
